"RelativePath","Type","Bytes","LastWriteTimeUtc"
"install","directory",,"2026-08-26T23:49:55.0949443Z"
"install\dependencies","directory",,"2026-08-26T23:54:05.3050199Z"
"install\packs","directory",,"2026-08-26T23:53:24.3997585Z"
"install\runtime","directory",,"2026-08-26T23:49:14.2899627Z"
"install\CivicCast Native.exe","file","13181952","2024-01-01T00:00:00.0000000Z"
"install\uninstall.exe","file","84865","2026-08-26T23:43:35.2288398Z"
"install\vc_redist.x64.exe","file","25635768","2024-01-01T00:00:00.0000000Z"
"install\dependencies\cuda","directory",,"2026-08-26T23:54:24.9336673Z"
"install\dependencies\ffmpeg","directory",,"2026-08-26T23:49:55.7071269Z"
"install\dependencies\ollama","directory",,"2026-08-26T23:51:14.4342663Z"
"install\dependencies\cuda\bin","directory",,"2026-08-26T23:54:24.8515719Z"
"install\dependencies\cuda\licenses","directory",,"2026-08-26T23:54:24.8849605Z"
"install\dependencies\cuda\notices","directory",,"2026-08-26T23:54:24.9376654Z"
"install\dependencies\cuda\bin\cublas64_12.dll","file","102518272","2026-08-26T23:54:05.7204834Z"
"install\dependencies\cuda\bin\cublasLt64_12.dll","file","668673536","2026-08-26T23:54:11.8534117Z"
"install\dependencies\cuda\bin\cudnn_adv64_9.dll","file","269016688","2026-08-26T23:54:16.6027903Z"
"install\dependencies\cuda\bin\cudnn_cnn64_9.dll","file","2994288","2026-08-26T23:54:17.2005713Z"
"install\dependencies\cuda\bin\cudnn_engines_precompiled64_9.dll","file","547317360","2026-08-26T23:54:22.4926275Z"
"install\dependencies\cuda\bin\cudnn_engines_runtime_compiled64_9.dll","file","38056048","2026-08-26T23:54:22.7675398Z"
"install\dependencies\cuda\bin\cudnn_engines_tensor_ir64_9.dll","file","155248","2026-08-26T23:54:22.8925868Z"
"install\dependencies\cuda\bin\cudnn_ext64_9.dll","file","130160","2026-08-26T23:54:22.8965854Z"
"install\dependencies\cuda\bin\cudnn_graph64_9.dll","file","99913840","2026-08-26T23:54:23.3452007Z"
"install\dependencies\cuda\bin\cudnn_heuristic64_9.dll","file","58741360","2026-08-26T23:54:23.6090402Z"
"install\dependencies\cuda\bin\cudnn_ops64_9.dll","file","105601136","2026-08-26T23:54:24.5569231Z"
"install\dependencies\cuda\bin\cudnn64_9.dll","file","267888","2026-08-26T23:54:12.8516407Z"
"install\dependencies\cuda\bin\nvblas64_12.dll","file","334848","2026-08-26T23:54:24.8121008Z"
"install\dependencies\cuda\licenses\cuda","directory",,"2026-08-26T23:54:24.8849605Z"
"install\dependencies\cuda\licenses\cudnn","directory",,"2026-08-26T23:54:24.9326668Z"
"install\dependencies\cuda\licenses\cuda\LICENSE.txt","file","521","2026-08-26T23:54:24.8672330Z"
"install\dependencies\cuda\licenses\cudnn\LICENSE.txt","file","564","2026-08-26T23:54:24.8849605Z"
"install\dependencies\cuda\notices\native-cuda-runtime.txt","file","1508","2026-08-26T23:54:24.9346703Z"
"install\dependencies\ffmpeg\bin","directory",,"2026-08-26T23:49:55.7031271Z"
"install\dependencies\ffmpeg\licenses","directory",,"2026-08-26T23:49:55.7041265Z"
"install\dependencies\ffmpeg\notices","directory",,"2026-08-26T23:49:55.7101264Z"
"install\dependencies\ffmpeg\bin\avcodec-62.dll","file","70883840","2026-08-26T23:49:55.1565803Z"
"install\dependencies\ffmpeg\bin\avdevice-62.dll","file","3924992","2026-08-26T23:49:55.4570517Z"
"install\dependencies\ffmpeg\bin\avfilter-11.dll","file","29825536","2026-08-26T23:49:55.4999118Z"
"install\dependencies\ffmpeg\bin\avformat-62.dll","file","22077440","2026-08-26T23:49:55.5811544Z"
"install\dependencies\ffmpeg\bin\avutil-60.dll","file","2937856","2026-08-26T23:49:55.6207262Z"
"install\dependencies\ffmpeg\bin\ffmpeg.exe","file","542208","2026-08-26T23:49:55.6487813Z"
"install\dependencies\ffmpeg\bin\ffprobe.exe","file","227840","2026-08-26T23:49:55.6567015Z"
"install\dependencies\ffmpeg\bin\swresample-6.dll","file","723968","2026-08-26T23:49:55.6607148Z"
"install\dependencies\ffmpeg\bin\swscale-9.dll","file","12570624","2026-08-26T23:49:55.6922979Z"
"install\dependencies\ffmpeg\licenses\ffmpeg","directory",,"2026-08-26T23:49:55.7071269Z"
"install\dependencies\ffmpeg\licenses\ffmpeg\LICENSE.txt","file","7651","2026-08-26T23:49:55.7041265Z"
"install\dependencies\ffmpeg\notices\ffmpeg-runtime.txt","file","1988","2026-08-26T23:49:55.7081272Z"
"install\dependencies\ollama\lib","directory",,"2026-08-26T23:50:39.5864182Z"
"install\dependencies\ollama\licenses","directory",,"2026-08-26T23:51:13.3682600Z"
"install\dependencies\ollama\notices","directory",,"2026-08-26T23:51:13.3762599Z"
"install\dependencies\ollama\ollama.exe","file","35578248","2026-08-26T23:51:14.1964009Z"
"install\dependencies\ollama\lib\ollama","directory",,"2026-08-26T23:51:09.6680402Z"
"install\dependencies\ollama\lib\ollama\cuda_v12","directory",,"2026-08-26T23:50:56.7442359Z"
"install\dependencies\ollama\lib\ollama\cuda_v13","directory",,"2026-08-26T23:51:07.0552132Z"
"install\dependencies\ollama\lib\ollama\vulkan","directory",,"2026-08-26T23:51:13.3402956Z"
"install\dependencies\ollama\lib\ollama\ggml-base.dll","file","817032","2026-08-26T23:51:07.0936620Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-alderlake.dll","file","1479048","2026-08-26T23:51:07.2043114Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-cannonlake.dll","file","1737608","2026-08-26T23:51:07.4636184Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-cascadelake.dll","file","1719688","2026-08-26T23:51:07.5549589Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-cooperlake.dll","file","1722760","2026-08-26T23:51:07.7765585Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-haswell.dll","file","1486216","2026-08-26T23:51:07.8991840Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-icelake.dll","file","1726856","2026-08-26T23:51:07.9484349Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-ivybridge.dll","file","1380744","2026-08-26T23:51:07.9925807Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-piledriver.dll","file","1383816","2026-08-26T23:51:08.0293326Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-sandybridge.dll","file","1360776","2026-08-26T23:51:08.0615565Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-sapphirerapids.dll","file","2024328","2026-08-26T23:51:08.2032459Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-skylakex.dll","file","1729928","2026-08-26T23:51:08.4126260Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-sse42.dll","file","1175432","2026-08-26T23:51:08.5285552Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-x64.dll","file","1163656","2026-08-26T23:51:08.5329317Z"
"install\dependencies\ollama\lib\ollama\ggml-cpu-zen4.dll","file","1729928","2026-08-26T23:51:08.5520956Z"
"install\dependencies\ollama\lib\ollama\ggml.dll","file","50568","2026-08-26T23:51:08.5567749Z"
"install\dependencies\ollama\lib\ollama\libc++.dll","file","1767816","2026-08-26T23:51:08.5621066Z"
"install\dependencies\ollama\lib\ollama\libllama-common.dll","file","4003720","2026-08-26T23:51:08.5949609Z"
"install\dependencies\ollama\lib\ollama\libllama-quantize-impl.dll","file","96648","2026-08-26T23:51:08.8206576Z"
"install\dependencies\ollama\lib\ollama\libllama-server-impl.dll","file","3091336","2026-08-26T23:51:09.0448117Z"
"install\dependencies\ollama\lib\ollama\libllama.dll","file","2749320","2026-08-26T23:51:09.2214335Z"
"install\dependencies\ollama\lib\ollama\libmtmd.dll","file","1131400","2026-08-26T23:51:09.3055773Z"
"install\dependencies\ollama\lib\ollama\libomp.dll","file","965000","2026-08-26T23:51:09.3831937Z"
"install\dependencies\ollama\lib\ollama\libunwind.dll","file","107912","2026-08-26T23:51:09.3851987Z"
"install\dependencies\ollama\lib\ollama\libwinpthread-1.dll","file","390024","2026-08-26T23:51:09.3989254Z"
"install\dependencies\ollama\lib\ollama\llama-quantize.exe","file","22920","2026-08-26T23:51:09.5248522Z"
"install\dependencies\ollama\lib\ollama\llama-server.exe","file","22920","2026-08-26T23:51:09.6660330Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\concrt140.dll","file","311688","2026-08-26T23:50:39.6191817Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\cublas64_12.dll","file","113720712","2026-08-26T23:50:40.3894598Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\cublasLt64_12.dll","file","692449672","2026-08-26T23:50:53.1256007Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\cudart64_12.dll","file","582024","2026-08-26T23:50:53.9792770Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\ggml-cuda.dll","file","371187080","2026-08-26T23:50:56.5237718Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\msvcp140_1.dll","file","23432","2026-08-26T23:50:56.6414878Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\msvcp140_2.dll","file","267656","2026-08-26T23:50:56.6802678Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\msvcp140_atomic_wait.dll","file","37768","2026-08-26T23:50:56.6834205Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\msvcp140_codecvt_ids.dll","file","19336","2026-08-26T23:50:56.6864170Z"
"install\dependencies\ollama\lib\ollama\cuda_v12\msvcp140.dll","file","545160","2026-08-26T23:50:56.6333349Z"
